Date,Open_USD,High_USD,Low_USD,Close_USD,Volume_USD,Dividends_USD,Stock Splits_USD
2016-02-08,81.10159704454868,82.07352970238058,79.8979446280959,81.73238372802734,7702744,1.24283,0.0
2016-02-09,81.17885449480687,81.7002202118006,79.66624207354154,79.85934448242188,6231231,0.0,0.0
2016-02-10,80.45795442085905,80.64461546972557,77.1366523964638,77.36193084716797,6766679,0.0,0.0
2016-02-11,76.45433358540949,77.02075786659857,75.2442451148393,75.85572814941406,7643750,0.0,0.0
2016-02-12,76.76332092062823,77.91547859168243,76.17758773517515,77.90904235839844,5163579,0.0,0.0
2016-02-16,78.41751707504598,79.2285336437435,78.102121172035,79.00325012207031,4248224,0.0,0.0
2016-02-17,79.62759775543682,81.46847286250278,79.3315105772419,81.16595458984375,5042766,0.0,0.0
2016-02-18,83.67629019169532,86.25094345692929,83.51537404157693,85.25326538085938,10409374,0.0,0.0
2016-02-19,85.19530277264546,86.02562810786343,84.21693382086602,85.65873718261719,5361064,0.0,0.0
2016-02-22,85.65874387149381,86.45045187464407,85.22749058942178,86.10287475585938,4662440,0.0,0.0
2016-02-23,85.69738914014896,85.87117774564656,84.97004840887332,85.22107696533203,3597926,0.0,0.0
2016-02-24,84.67394274631013,85.92264902379469,83.47029523740805,85.47852325439453,4312240,0.0,0.0
2016-02-25,85.79393098994085,86.57920290631839,84.24270099588888,86.57276153564453,4558782,0.0,0.0
2016-02-26,86.57918330487644,86.84308424970718,84.93139990034305,84.98289489746094,4587965,0.0,0.0
2016-02-29,84.9635967567497,85.83897585991544,84.25556485752978,84.33924102783203,4631688,0.0,0.0
2016-03-01,85.1180748441837,86.6628684140041,84.98290367320213,86.48907470703125,3962771,0.0,0.0
2016-03-02,86.05781524961706,88.4651204024597,85.74885553039431,87.73133850097656,5457191,0.0,0.0
2016-03-03,88.323501123506,88.79981310377185,87.58328822552232,88.69682312011719,5393594,0.0,0.0
2016-03-04,88.52947081750027,89.73955432719603,88.19476621226643,88.69682312011719,4150946,0.0,0.0
2016-03-07,88.36214024580984,90.44117207602575,88.09823926319076,90.20945739746094,5408866,0.0,0.0
2016-03-08,89.92622161985426,90.33817128646125,88.45223717346484,89.5142822265625,5835739,0.0,0.0
2016-03-09,89.66878140287037,91.50965715230804,89.61728126261738,90.3768081665039,4609199,0.0,0.0
2016-03-10,90.91104200816342,91.05908049681754,88.88350029263404,90.23519134521484,4205548,0.0,0.0
2016-03-11,91.22645718579435,91.99241531105852,90.44118522062703,91.63196563720703,4625307,0.0,0.0
2016-03-14,91.40666443307785,92.16619131442916,90.78231385839781,91.90229034423828,4235045,0.0,0.0
2016-03-15,91.23288115810213,92.25629873809325,91.10414622104325,92.01814270019531,3878045,0.0,0.0
2016-03-16,91.79928756448155,93.25396851966062,91.47102430821496,93.19603729248047,4416107,0.0,0.0
2016-03-17,93.18962853334357,94.82453483778745,92.97722765711194,94.6443099975586,6089394,0.0,0.0
2016-03-18,94.87601416158851,94.9468178625637,93.6594890520879,94.67647552490234,12645826,0.0,0.0
2016-03-21,94.81164147257991,95.71920684489216,94.43831940533607,95.66771697998047,3892794,0.0,0.0
2016-03-22,95.30082102848334,96.08609279393112,95.15921363405998,95.32657623291016,4269667,0.0,0.0
